ItemID,Percentage1,Percentage2,Percentage3,Percentage4,Percentage5,PercentageHC1,PercentageHC2,PercentageHC3,PercentageHC4,PercentageHC5,,Phase,,Rank,FEPV,FHCEVP,P1max,P2max,P3max,P4max,P5max,P1maxHC,P2maxHC,P3maxHC,P4maxHC,P5maxHC,EPV
31494,,,,,,,,,,,Owl,1,Off Hand,1,37,37,56,56,81,81,81,49,49,55,61,61,36.18
29271,,,,,,,,,,,Arc,1,Off Hand,1,37,37,37,37,44,49,68,37,37,37,40,49,36.334
29271,,,,,,,,,,,Arc,1,Off Hand,1,37,37,37,37,44,49,68,37,37,37,40,49,36.334
28797,,,,,,,,,,,Arc,1,Back,1,37,37,37,38,60,60,79,37,37,38,60,60,36.479
29287,,,,,,,,,,,Arc,1,Ring,1,37,37,37,38,66,66,72,37,37,38,66,66,36.568
29918,,,,,,,,,,,Arc,2,Wrist,1,37,37,36,37,60,60,74,36,36,37,60,60,36.693
32323,,,,,,,,,,,Ret,3,Back,1,42,37,38,38,42,46,70,38,38,38,39,46,41.4768
24114,,,,,,,,,,,Arms,1,Neck,1,59,37,59,59,72,72,80,44,44,54,64,64,58.22
24114,,,,,,,,,,,Arms,1,Neck,1,59,37,59,59,72,72,80,44,44,54,64,64,58.22
24259,,,,,,,,,,,Ret,1,Back,1,38,38,38,38,42,46,70,38,38,38,39,46,37.058
30022,,,,,,,,,,,Ret,2,Neck,1,38,38,36,38,45,45,59,34,34,38,39,39,37.4338
23049,,,,,,,,,,,Owl,1,Off Hand,1,38,38,56,56,81,81,81,49,49,55,61,61,37.44
29302,,,,,,,,,,,Arc,2,Ring,1,38,38,37,38,66,66,72,37,37,38,66,66,37.486
30098,,,,,,,,,,,Ret,2,Back,1,38,38,38,38,42,46,70,38,38,38,39,46,37.7792
29992,,,,,,,,,,,Arc,2,Back,1,38,38,37,38,60,60,79,37,37,38,60,60,37.84
21709,,,,,,,,,,,Shad,1,Ring,1,44,38,44,44,72,79,81,38,38,41,72,72,43.5256
21709,,,,,,,,,,,Shad,1,Ring,1,44,38,44,44,72,79,81,38,38,41,72,72,43.5256
29982,,,,,,,,,,,Dest,2,Ranged,1,55,38,40,55,55,55,72,36,36,38,38,44,54.78
29982,,,,,,,,,,,Dest,2,Ranged,1,55,38,40,55,55,55,72,36,36,38,38,44,54.78
29982,,,,,,,,,,,Dest,2,Ranged,1,55,38,40,55,55,55,72,36,36,38,38,44,54.78
28766,,,,,,,,,,,Owl,1,Back,1,60,38,60,60,64,64,90,54,54,54,64,64,59.58
28766,,,,,,,,,,,Owl,1,Back,1,60,38,60,60,64,64,90,54,54,54,64,64,59.58
32756,,,,,,,,,,,Prot,1,Ranged,1,39,39,39,39,42,42,42,39,39,39,42,42,39
32756,,,,,,,,,,,Prot,1,Ranged,1,39,39,39,39,42,42,42,39,39,39,42,42,39
32260,,,,,,,,,,,Ret,3,Neck,1,45,39,36,38,45,45,59,34,34,38,39,39,44.4762
32260,,,,,,,,,,,Ret,3,Neck,1,45,39,36,38,45,45,59,34,34,38,39,39,44.4762
32651,,,,,,,,,,,Owl,1,Off Hand,1,40,40,56,56,81,81,81,49,49,55,61,61,39.08
30872,,,,,,,,,,,Arc,3,Off Hand,1,44,40,37,37,44,49,68,37,37,37,40,49,43.577
24121,,,,,,,,,,,Arc,1,Neck,1,41,41,41,42,50,68,73,41,41,42,50,68,40.00548
30057,,,,,,,,,,,Ret,2,Wrist,1,46,41,44,46,51,51,87,44,44,44,51,51,45.3497
30738,,,,,,,,,,,Arms,1,Ring,1,56,41,56,64,74,74,89,47,47,47,64,69,55.859
32253,,,,,,,,,,,Prot,3,Ranged,1,42,42,39,39,42,42,42,39,39,39,42,42,41.571
32253,,,,,,,,,,,Prot,3,Ranged,1,42,42,39,39,42,42,42,39,39,39,42,42,41.571
32253,,,,,,,,,,,Prot,3,Ranged,1,42,42,39,39,42,42,42,39,39,39,42,42,41.571
30015,,,,,,,,,,,Arc,2,Neck,1,42,42,41,42,50,68,73,41,41,42,50,68,41.677
29982,,,,,,,,,,,Fire,2,Ranged,1,58,42,40,58,58,58,67,39,39,42,42,45,57.574
29982,,,,,,,,,,,Fire,2,Ranged,1,58,42,40,58,58,58,67,39,39,42,42,45,57.574
29982,,,,,,,,,,,Fire,2,Ranged,1,58,42,40,58,58,58,67,39,39,42,42,45,57.574
32497,,,,,,,,,,,Arms,3,Ring,1,74,42,56,64,74,74,89,47,47,47,64,69,73.203
32497,,,,,,,,,,,Arms,3,Ring,1,74,42,56,64,74,74,89,47,47,47,64,69,73.203
32533,,,,,,,,,,,Owl,1,Off Hand,1,43,43,56,56,81,81,81,49,49,55,61,61,42.2
25686,,,,,,,,,,,Arms,1,Feet,1,70,43,70,76,98,98,121,67,67,73,91,91,69.002
34347,,,,,,,,,,,Arc,5,Ranged,1,44,44,21,21,21,26,44,21,21,21,21,26,43.394
30834,,,,,,,,,,,Ret,1,Ring,1,44,44,44,44,45,45,57,44,44,44,45,45,43.6675
30834,,,,,,,,,,,Ret,1,Ring,1,44,44,44,44,45,45,57,44,44,44,45,45,43.6675
28795,,,,,,,,,,,Ret,1,Wrist,1,44,44,44,46,51,51,87,44,44,44,51,51,43.9432
33474,,,,,,,,,,,Fury,4,Ranged,1,44,44,33,34,34,44,69,33,33,34,34,44,44
32335,,,,,,,,,,,Ret,3,Ring,1,45,45,44,44,45,45,57,44,44,44,45,45,44.5872
32335,,,,,,,,,,,Ret,3,Ring,1,45,45,44,44,45,45,57,44,44,44,45,45,44.5872
29997,,,,,,,,,,,Arms,2,Ring,1,64,45,56,64,74,74,89,47,47,47,64,69,63.452
32270,,,,,,,,,,,Aff,3,Wrist,1,73,45,55,55,73,73,91,55,55,55,70,70,72.239
32270,,,,,,,,,,,Aff,3,Wrist,1,73,45,55,55,73,73,91,55,55,55,70,70,72.239
29949,,,,,,,,,,,Rog,2,Ranged,1,91,45,85,91,91,91,138,85,85,85,85,85,90.56
29949,,,,,,,,,,,Rog,2,Ranged,1,91,45,85,91,91,91,138,85,85,85,85,85,90.56
29949,,,,,,,,,,,Rog,2,Ranged,1,91,45,85,91,91,91,138,85,85,85,85,85,90.56
33590,,,,,,,,,,,Ret,4,Back,1,46,46,38,38,42,46,70,38,38,38,39,46,45.1253
28793,,,,,,,,,,,Fire,1,Ring,1,70,46,70,70,107,111,119,65,65,67,96,96,69.54
28793,,,,,,,,,,,Fire,1,Ring,1,70,46,70,70,107,111,119,65,65,67,96,96,69.54
28793,,,,,,,,,,,Dest,1,Ring,1,70,46,70,70,101,118,127,61,61,63,101,101,69.704
28793,,,,,,,,,,,Dest,1,Ring,1,70,46,70,70,101,118,127,61,61,63,101,101,69.704
31201,,,,,,,,,,,Shad,1,Back,1,47,47,47,47,68,68,88,47,47,47,57,57,47
31201,,,,,,,,,,,Shad,1,Back,1,47,47,47,47,68,68,88,47,47,47,57,57,47
30738,,,,,,,,,,,Fury,1,Ring,1,57,47,57,65,76,76,97,50,50,54,66,74,56.57
24114,,,,,,,,,,,Fury,1,Neck,1,60,47,60,60,74,74,102,47,47,55,69,69,59.8
24114,,,,,,,,,,,Fury,1,Neck,1,60,47,60,60,74,74,102,47,47,55,69,69,59.8
28766,,,,,,,,,,,Dest,1,Back,1,75,47,75,75,101,101,123,65,65,65,85,85,74.671
28766,,,,,,,,,,,Dest,1,Back,1,75,47,75,75,101,101,123,65,65,65,85,85,74.671
28509,,,,,,,,,,,Prot,1,Neck,1,59,48,59,69,72,96,103,56,56,61,69,81,58.749
24116,,,,,,,,,,,Aff,1,Neck,1,71,48,71,71,80,80,100,53,53,58,60,68,70.714
24116,,,,,,,,,,,Aff,1,Neck,1,71,48,71,71,80,80,100,53,53,58,60,68,70.714
28766,,,,,,,,,,,Fire,1,Back,1,75,48,75,75,83,83,116,70,70,70,83,83,74.43
28766,,,,,,,,,,,Fire,1,Back,1,75,48,75,75,83,83,116,70,70,70,83,83,74.43
33334,,,,,,,,,,,Arc,4,Off Hand,1,49,49,37,37,44,49,68,37,37,37,40,49,48.285
28387,,,,,,,,,,,Heal,1,Off Hand,1,49,49,80,98,98,122,122,80,80,98,98,98,48.5
29273,,,,,,,,,,,Ele,1,Off Hand,1,49,49,49,58,70,70,84,49,49,58,64,64,49
32323,,,,,,,,,,,Arms,3,Back,1,67,49,55,55,67,67,78,55,55,55,56,60,66.364
32323,,,,,,,,,,,Arms,3,Back,1,67,49,55,55,67,67,78,55,55,55,56,60,66.364
28517,,,,,,,,,,,Arc,1,Feet,1,50,50,50,53,65,67,94,50,50,53,65,67,49.027
35317,,,,,,,,,,,Arc,3,Neck,1,50,50,41,42,50,68,73,41,41,42,50,68,49.355
29283,,,,,,,,,,,Prot,1,Ring,1,67,50,67,72,91,91,122,59,59,68,85,85,66.091
24116,,,,,,,,,,,Owl,1,Neck,1,69,50,69,69,79,79,90,55,55,62,62,67,68.8
24116,,,,,,,,,,,Owl,1,Neck,1,69,50,69,69,79,79,90,55,55,62,62,67,68.8
32260,,,,,,,,,,,Arms,3,Neck,1,72,50,59,59,72,72,80,44,44,54,64,64,71.844
32260,,,,,,,,,,,Arms,3,Neck,1,72,50,59,59,72,72,80,44,44,54,64,64,71.844
32270,,,,,,,,,,,Owl,3,Wrist,1,73,50,59,59,73,73,89,59,59,59,69,69,72.4
32270,,,,,,,,,,,Owl,3,Wrist,1,73,50,59,59,73,73,89,59,59,59,69,69,72.4
32574,,,,,,,,,,,Ret,3,Wrist,1,51,51,44,46,51,51,87,44,44,44,51,51,50.3152
32574,,,,,,,,,,,Ret,3,Wrist,1,51,51,44,46,51,51,87,44,44,44,51,51,50.3152
28608,,,,,,,,,,,Ret,1,Feet,1,51,51,51,55,67,67,112,51,51,55,66,66,50.8051
30666,,,,,,,,,,,Shad,1,Neck,1,51,51,51,51,62,62,84,51,51,51,53,62,51
30666,,,,,,,,,,,Shad,1,Neck,1,51,51,51,51,62,62,84,51,51,51,53,62,51
32349,,,,,,,,,,,Shad,3,Neck,1,62,51,51,51,62,62,84,51,51,51,53,62,61.846
32349,,,,,,,,,,,Shad,3,Neck,1,62,51,51,51,62,62,84,51,51,51,53,62,61.846
30057,,,,,,,,,,,Arms,2,Wrist,1,69,51,63,69,71,71,107,63,63,63,63,63,68.64
30039,,,,,,,,,,,Arms,2,Feet,1,76,51,70,76,98,98,121,67,67,73,91,91,75.077
34347,,,,,,,,,,,Shad,5,Ranged,1,53,53,25,34,35,35,53,25,25,26,26,31,52.62
30067,,,,,,,,,,,Arc,2,Feet,1,53,53,50,53,65,67,94,50,50,53,65,67,52.958
29079,,,,,,,,,,,Arc,1,Shoulders,1,54,54,54,63,80,80,99,54,54,63,80,80,53.926
29997,,,,,,,,,,,Fury,2,Ring,1,65,54,57,65,76,76,97,50,50,54,66,74,65
29951,,,,,,,,,,,Ret,2,Feet,1,55,55,51,55,67,67,112,51,51,55,66,66,54.1529
30684,,,,,,,,,,,Aff,1,Wrist,1,55,55,55,55,73,73,91,55,55,55,70,70,54.162
30684,,,,,,,,,,,Aff,1,Wrist,1,55,55,55,55,73,73,91,55,55,55,70,70,54.162
30729,,,,,,,,,,,Arms,1,Back,1,55,55,55,55,67,67,78,55,55,55,56,60,54.87
30729,,,,,,,,,,,Arms,1,Back,1,55,55,55,55,67,67,78,55,55,55,56,60,54.87
32590,,,,,,,,,,,Shad,3,Back,1,68,55,47,47,68,68,88,47,47,47,57,57,67.9616
32590,,,,,,,,,,,Shad,3,Back,1,68,55,47,47,68,68,88,47,47,47,57,57,67.9616
32590,,,,,,,,,,,Aff,3,Back,1,81,55,60,60,81,81,96,50,50,50,65,65,80.325
32590,,,,,,,,,,,Aff,3,Back,2,81,55,60,60,81,81,96,50,50,50,65,65,80.325
30735,,,,,,,,,,,Ele,1,Back,1,56,56,56,56,69,69,100,56,56,56,69,69,55.17
30735,,,,,,,,,,,Ele,1,Back,1,56,56,56,56,69,69,100,56,56,56,69,69,55.17
28660,,,,,,,,,,,Tank,1,Back,1,56,56,56,64,64,67,84,56,56,64,64,65,55.85
21847,,,,,,,,,,,Arc,1,Hands,1,57,57,57,57,66,66,103,57,57,57,61,61,56.041
34347,,,,,,,,,,,Aff,5,Ranged,1,57,57,33,46,46,46,57,27,27,30,30,32,56.329
28779,,,,,,,,,,,Ret,1,Waist,1,57,57,57,91,91,91,124,57,57,91,91,91,56.6842
29987,,,,,,,,,,,Arc,2,Hands,1,57,57,57,57,66,66,103,57,57,57,61,61,56.696
34361,,,,,,,,,,,Ret,5,Ring,1,57,57,44,44,45,45,57,44,44,44,45,45,56.9472
30740,,,,,,,,,,,Ret,1,Shoulders,1,61,57,61,70,70,70,87,57,57,70,70,70,60.6789
32323,,,,,,,,,,,Fury,3,Back,1,68,57,58,58,68,68,99,58,58,58,58,65,67.4
32323,,,,,,,,,,,Fury,3,Back,1,68,57,58,58,68,68,99,58,58,58,58,65,67.4
30099,,,,,,,,,,,Prot,2,Neck,1,69,57,59,69,72,96,103,56,56,61,69,81,68.742
32497,,,,,,,,,,,Fury,3,Ring,1,76,57,57,65,76,76,97,50,50,54,66,74,75.66
32497,,,,,,,,,,,Fury,3,Ring,1,76,57,57,65,76,76,97,50,50,54,66,74,75.66
30872,,,,,,,,,,,Aff,3,Off Hand,1,82,57,57,57,82,82,82,48,48,52,57,59,81.303
30872,,,,,,,,,,,Aff,3,Off Hand,1,82,57,57,57,82,82,82,48,48,52,57,59,81.303
30872,,,,,,,,,,,Aff,3,Off Hand,1,82,57,57,57,82,82,82,48,48,52,57,59,81.303
32247,,,,,,,,,,,Aff,3,Ring,1,85,57,56,56,85,96,102,46,46,49,78,78,84.289
30644,,,,,,,,,,,Ret,1,Hands,1,58,58,58,66,68,68,90,58,58,66,68,68,57.0413
30729,,,,,,,,,,,Fury,1,Back,1,58,58,58,58,68,68,99,58,58,58,58,65,57.3
30729,,,,,,,,,,,Fury,1,Back,1,58,58,58,58,68,68,99,58,58,58,58,65,57.3
30049,,,,,,,,,,,Ele,2,Off Hand,1,58,58,49,58,70,70,84,49,49,58,64,64,57.42
30863,,,,,,,,,,,Arms,3,Wrist,1,71,58,63,69,71,71,107,63,63,63,63,63,70.281
30863,,,,,,,,,,,Arms,3,Wrist,1,71,58,63,69,71,71,107,63,63,63,63,63,70.281
32349,,,,,,,,,,,Aff,3,Neck,1,80,58,71,71,80,80,100,53,53,58,60,68,79.026
32349,,,,,,,,,,,Aff,3,Neck,1,80,58,71,71,80,80,100,53,53,58,60,68,79.026
28245,,,,,,,,,,,Tank,1,Neck,1,59,59,59,70,70,70,73,59,59,70,70,70,58.1
34358,,,,,,,,,,,Ret,5,Neck,1,59,59,36,38,45,45,59,34,34,38,39,39,58.5803
21846,,,,,,,,,,,Arc,1,Waist,1,59,59,59,59,78,78,97,59,59,59,78,78,58.984
21846,,,,,,,,,,,Arc,1,Waist,1,59,59,59,59,78,78,97,59,59,59,78,78,58.984
30684,,,,,,,,,,,Owl,1,Wrist,1,59,59,59,59,73,73,89,59,59,59,69,69,59
30684,,,,,,,,,,,Shad,1,Wrist,1,59,59,59,59,64,64,75,59,59,59,64,64,59
30684,,,,,,,,,,,Ele,1,Wrist,1,59,59,59,59,74,74,91,59,59,59,74,74,59
30684,,,,,,,,,,,Owl,1,Wrist,1,59,59,59,59,73,73,89,59,59,59,69,69,59
30684,,,,,,,,,,,Shad,1,Wrist,1,59,59,59,59,64,64,75,59,59,59,64,64,59
30684,,,,,,,,,,,Ele,1,Wrist,1,59,59,59,59,74,74,91,59,59,59,74,74,59
30057,,,,,,,,,,,Fury,2,Wrist,1,70,59,65,70,73,73,113,65,65,65,72,72,69.56
32362,,,,,,,,,,,Prot,3,Neck,1,72,59,59,69,72,96,103,56,56,61,69,81,71.916
30725,,,,,,,,,,,Shad,1,Hands,1,74,59,74,74,75,75,130,66,66,66,66,70,73.8715
30725,,,,,,,,,,,Shad,1,Hands,1,74,59,74,74,75,75,130,66,66,66,66,70,73.8715
32524,,,,,,,,,,,Arc,3,Back,1,60,60,37,38,60,60,79,37,37,38,60,60,59.453
32524,,,,,,,,,,,Arc,3,Back,1,60,60,37,38,60,60,79,37,37,38,60,60,59.453
23207,,,,,,,,,,,Tank,1,Trinket,1,60,60,60,68,68,68,68,60,60,68,68,68,59.5
32586,,,,,,,,,,,Arc,3,Wrist,1,60,60,36,37,60,60,74,36,36,37,60,60,59.674
32586,,,,,,,,,,,Arc,3,Wrist,1,60,60,36,37,60,60,74,36,36,37,60,60,59.674
29997,,,,,,,,,,,Prot,2,Ring,1,72,60,67,72,91,91,122,59,59,68,85,85,71.482
32260,,,,,,,,,,,Fury,3,Neck,1,74,60,60,60,74,74,102,47,47,55,69,69,73.02
32260,,,,,,,,,,,Fury,3,Neck,1,74,60,60,60,74,74,102,47,47,55,69,69,73.02
31061,,,,,,,,,,,Shad,3,Hands,1,75,60,74,74,75,75,130,66,66,66,66,70,74.5368
31061,,,,,,,,,,,Shad,3,Hands,1,75,60,74,74,75,75,130,66,66,66,66,70,74.5368
32247,,,,,,,,,,,Owl,3,Ring,1,83,60,61,61,83,87,92,61,61,61,73,73,82.2
24116,,,,,,,,,,,Dest,1,Neck,1,85,60,85,85,96,96,124,68,68,76,88,88,84.614
24116,,,,,,,,,,,Dest,1,Neck,1,85,60,85,85,96,96,124,68,68,76,88,88,84.614
30667,,,,,,,,,,,Owl,1,Ring,1,61,61,61,61,83,87,92,61,61,61,73,73,60.1
30667,,,,,,,,,,,Owl,1,Ring,1,61,61,61,61,83,87,92,61,61,61,73,73,60.1
29279,,,,,,,,,,,Tank,1,Ring,1,61,61,61,63,71,71,89,61,61,63,71,71,60.5
24121,,,,,,,,,,,Ele,1,Neck,1,61,61,61,65,70,72,99,61,61,65,65,72,60.8924
31055,,,,,,,,,,,Arc,3,Hands,1,66,61,57,57,66,66,103,57,57,57,61,61,65.494
31055,,,,,,,,,,,Arc,3,Hands,1,66,61,57,57,66,66,103,57,57,57,61,61,65.494
32345,,,,,,,,,,,Ret,3,Feet,1,67,61,51,55,67,67,112,51,51,55,66,66,66.2386
32345,,,,,,,,,,,Ret,3,Feet,1,67,61,51,55,67,67,112,51,51,55,66,66,66.2386
32483,,,,,,,,,,,Arc,3,Trinket,1,67,61,62,62,67,67,85,62,62,62,62,62,66.373
32483,,,,,,,,,,,Arc,3,Trinket,1,67,61,62,62,67,67,85,62,62,62,62,62,66.373
32349,,,,,,,,,,,Owl,3,Neck,1,79,61,69,69,79,79,90,55,55,62,62,67,78.4
32349,,,,,,,,,,,Owl,3,Neck,1,79,61,69,69,79,79,90,55,55,62,62,67,78.4
27683,,,,,,,,,,,Arc,1,Trinket,1,62,62,62,62,67,67,85,62,62,62,62,62,61.489
27683,,,,,,,,,,,Arc,1,Trinket,1,62,62,62,62,67,67,85,62,62,62,62,62,61.489
28545,,,,,,,,,,,Fury,1,Feet,1,70,62,70,77,99,99,140,67,67,75,94,94,69.76
30050,,,,,,,,,,,Aff,2,Feet,1,88,62,79,88,88,88,150,79,79,79,88,88,87.223
32270,,,,,,,,,,,Fire,3,Wrist,1,90,62,72,73,90,90,111,72,72,73,84,84,89.92
32270,,,,,,,,,,,Fire,3,Wrist,1,90,62,72,73,90,90,111,72,72,73,84,84,89.92
28795,,,,,,,,,,,Arms,1,Wrist,1,63,63,63,69,71,71,107,63,63,63,63,63,62.08
30667,,,,,,,,,,,Ele,1,Ring,1,63,63,63,63,82,82,99,63,63,63,82,82,62.17
30667,,,,,,,,,,,Ele,1,Ring,1,63,63,63,63,82,82,99,63,63,63,82,82,62.17
30083,,,,,,,,,,,Tank,2,Ring,1,63,63,61,63,71,71,89,61,61,63,71,71,62.7
30210,,,,,,,,,,,Arc,2,Shoulders,1,63,63,54,63,80,80,99,54,54,63,80,80,62.741
32323,,,,,,,,,,,Prot,3,Back,1,75,63,68,68,75,81,104,68,68,68,68,70,74.035
30039,,,,,,,,,,,Fury,2,Feet,1,77,63,70,77,99,99,140,67,67,75,94,94,76.73
32331,,,,,,,,,,,Owl,3,Back,1,64,64,60,60,64,64,90,54,54,54,64,64,63.08
32331,,,,,,,,,,,Owl,3,Back,1,64,64,60,60,64,64,90,54,54,54,64,64,63.08
32586,,,,,,,,,,,Shad,3,Wrist,1,64,64,59,59,64,64,75,59,59,59,64,64,63.24
32586,,,,,,,,,,,Shad,3,Wrist,1,64,64,59,59,64,64,75,59,59,59,64,64,63.24
29925,,,,,,,,,,,Tank,2,Back,1,64,64,56,64,64,67,84,56,56,64,64,65,63.7
29925,,,,,,,,,,,Tank,2,Back,1,64,64,56,64,64,67,84,56,56,64,64,65,63.7
30872,,,,,,,,,,,Ele,3,Off Hand,1,70,64,49,58,70,70,84,49,49,58,64,64,69.2
30872,,,,,,,,,,,Ele,3,Off Hand,1,70,64,49,58,70,70,84,49,49,58,64,64,69.2
34010,,,,,,,,,,,Prot,4,Back,1,81,64,68,68,75,81,104,68,68,68,68,70,80.877
30037,,,,,,,,,,,Owl,2,Feet,1,86,64,79,86,99,99,107,79,79,79,99,99,85.1
28795,,,,,,,,,,,Fury,1,Wrist,1,65,65,65,70,73,73,113,65,65,65,72,72,64.08
30015,,,,,,,,,,,Ele,2,Neck,1,65,65,61,65,70,72,99,61,61,65,65,72,64.36
32239,,,,,,,,,,,Arc,3,Feet,1,65,65,50,53,65,67,94,50,50,53,65,67,64.387
34010,,,,,,,,,,,Tank,4,Back,1,67,65,56,64,64,67,84,56,56,64,64,65,66.9
32349,,,,,,,,,,,Ele,3,Neck,1,70,65,61,65,70,72,99,61,61,65,65,72,69.82
30863,,,,,,,,,,,Fury,3,Wrist,1,73,65,65,70,73,73,113,65,65,65,72,72,72.25
30863,,,,,,,,,,,Fury,3,Wrist,1,73,65,65,70,73,73,113,65,65,65,72,72,72.25
33497,,,,,,,,,,,Shad,4,Ring,1,79,65,44,44,72,79,81,38,38,41,72,72,78.0236
28967,,,,,,,,,,,Aff,1,Shoulders,1,85,65,85,97,112,112,131,75,75,79,95,95,84.716
33497,,,,,,,,,,,Owl,4,Ring,1,87,65,61,61,83,87,92,61,61,61,73,73,86.02
28171,,,,,,,,,,,Rog,1,Wrist,1,101,65,101,130,174,174,231,100,100,130,157,157,100.78
32527,,,,,,,,,,,Arc,3,Ring,1,66,66,37,38,66,66,72,37,37,38,66,66,65.525
32527,,,,,,,,,,,Arc,3,Ring,1,66,66,37,38,66,66,72,37,37,38,66,66,65.525
29947,,,,,,,,,,,Ret,2,Hands,1,66,66,58,66,68,68,90,58,58,66,68,68,65.5689
34362,,,,,,,,,,,Shad,5,Ring,1,81,66,44,44,72,79,81,38,38,41,72,72,80.3508
24116,,,,,,,,,,,Fire,1,Neck,1,90,66,90,90,101,101,118,78,78,81,94,94,89.736
24116,,,,,,,,,,,Fire,1,Neck,1,90,66,90,90,101,101,118,78,78,81,94,94,89.736
33357,,,,,,,,,,,Arc,4,Feet,1,67,67,50,53,65,67,94,50,50,53,65,67,66.732
34347,,,,,,,,,,,Fire,5,Ranged,1,67,67,40,58,58,58,67,39,39,42,42,45,66.78
34362,,,,,,,,,,,Arc,5,Ring,1,72,67,37,38,66,66,72,37,37,38,66,66,71.202
33281,,,,,,,,,,,Arc,4,Neck,1,68,68,41,42,50,68,73,41,41,42,50,68,67.002
34179,,,,,,,,,,,Arc,5,Off Hand,1,68,68,37,37,44,49,68,37,37,37,40,49,67.153
29385,,,,,,,,,,,Prot,1,Back,1,68,68,68,68,75,81,104,68,68,68,68,70,67.17
29385,,,,,,,,,,,Prot,1,Back,1,68,68,68,68,75,81,104,68,68,68,68,70,67.17
30447,,,,,,,,,,,Tank,2,Trinket,1,68,68,60,68,68,68,68,60,60,68,68,68,67.669
30447,,,,,,,,,,,Tank,2,Trinket,1,68,68,60,68,68,68,68,60,60,68,68,68,67.669
30447,,,,,,,,,,,Tank,2,Trinket,1,68,68,60,68,68,68,68,60,60,68,68,68,67.669
30447,,,,,,,,,,,Tank,2,Trinket,1,68,68,60,68,68,68,68,60,60,68,68,68,67.669
