ItemID,Spec,GamePhase,ItemPhase,Slot,Rank,FEPV,FHCEVP,P1max,P2max,P3max,P4max,P5max,P1maxHC,P2maxHC,P3maxHC,P4maxHC,P5maxHC,EPV
19379,Ele,1,1,Trinket,8,50,44,85,91,99,99,118,85,85,91,91,91,49.44
19379,Shad,2,1,Trinket,8,57,44,85,85,104,104,107,85,85,85,85,88,56.3072
19379,Owl,3,1,Trinket,8,64,44,85,85,109,109,109,85,85,85,85,88,63.2
19379,Dest,2,1,Trinket,8,77,53,101,101,144,144,144,101,101,101,106,106,76.648
19379,Aff,4,1,Trinket,9,64,41,80,80,120,120,120,80,80,80,84,84,63.592
19379,Ele,2,1,Trinket,10,50,44,85,91,99,99,118,85,85,91,91,91,49.44
19379,Shad,3,1,Trinket,10,57,44,85,85,104,104,107,85,85,85,85,88,56.3072
19379,Owl,3,1,Trinket,10,64,44,85,85,109,109,109,85,85,85,85,88,63.2
19379,Dest,3,1,Trinket,10,77,53,101,101,144,144,144,101,101,101,106,106,76.648
19379,Fire,2,1,Trinket,10,78,54,103,110,137,137,137,103,103,110,110,110,77.24
19379,Arc,2,1,Trinket,11,29,25,62,62,67,67,85,62,62,62,62,62,28.412
19379,Aff,5,1,Trinket,11,64,41,80,80,120,120,120,80,80,80,84,84,63.592
19379,Shad,4,1,Trinket,11,57,44,85,85,104,104,107,85,85,85,85,88,56.3072
19379,Owl,5,1,Trinket,11,64,44,85,85,109,109,109,85,85,85,85,88,63.2
19379,Dest,4,1,Trinket,11,77,53,101,101,144,144,144,101,101,101,106,106,76.648
19379,Tank,1,1,Trinket,12,31,31,60,68,68,68,68,60,60,68,68,68,30.8
19379,Ele,3,1,Trinket,12,50,44,85,91,99,99,118,85,85,91,91,91,49.44
19379,Fire,3,1,Trinket,12,78,54,103,110,137,137,137,103,103,110,110,110,77.24
19379,Arc,3,1,Trinket,13,29,25,62,62,67,67,85,62,62,62,62,62,28.412
19379,Ele,4,1,Trinket,13,50,44,85,91,99,99,118,85,85,91,91,91,49.44
19379,Shad,5,1,Trinket,13,57,44,85,85,104,104,107,85,85,85,85,88,56.3072
19379,Owl,5,1,Trinket,13,64,44,85,85,109,109,109,85,85,85,85,88,63.2
19379,Dest,5,1,Trinket,13,77,53,101,101,144,144,144,101,101,101,106,106,76.648
19379,Fire,4,1,Trinket,13,78,54,103,110,137,137,137,103,103,110,110,110,77.24
19379,Ele,5,1,Trinket,15,50,44,85,91,99,99,118,85,85,91,91,91,49.44
19379,Fire,5,1,Trinket,15,78,54,103,110,137,137,137,103,103,110,110,110,77.24
19382,Tree,1,1,Ring,13,59,59,88,106,106,106,106,75,75,82,82,82,59
19382,Heal,1,1,Ring,14,58,58,88,136,136,136,136,88,88,136,136,136,58
19382,Resto,1,1,Ring,14,59,59,92,152,152,152,152,92,92,152,152,152,58.2
19395,Tree,2,1,Trinket,6,71,71,134,134,134,134,134,134,134,134,134,134,70.5
19395,Resto,2,1,Trinket,7,80,80,134,143,143,143,143,134,134,143,143,143,79.5
19395,Tree,3,2,Trinket,8,71,71,134,134,134,134,134,134,134,134,134,134,70.5
19395,Heal,1,1,Trinket,8,73,73,134,134,134,134,134,134,134,134,134,134,72.75
19395,Heal,2,1,Trinket,9,73,73,134,134,134,134,134,134,134,134,134,134,72.75
19395,Resto,3,2,Trinket,9,80,80,134,143,143,143,143,134,134,143,143,143,79.5
19395,Holy,1,1,Trinket,9,90,90,175,175,175,175,175,175,175,175,175,175,89.463
19395,Holy,2,1,Trinket,10,90,90,175,175,175,175,175,175,175,175,175,175,89.463
19395,Tree,4,3,Trinket,11,71,71,134,134,134,134,134,134,134,134,134,134,70.5
19395,Heal,3,2,Trinket,11,73,73,134,134,134,134,134,134,134,134,134,134,72.75
19395,Tree,5,4,Trinket,12,71,71,134,134,134,134,134,134,134,134,134,134,70.5
19395,Resto,4,3,Trinket,12,80,80,134,143,143,143,143,134,134,143,143,143,79.5
19395,Holy,3,2,Trinket,12,90,90,175,175,175,175,175,175,175,175,175,175,89.463
19395,Holy,4,3,Trinket,13,90,90,175,175,175,175,175,175,175,175,175,175,89.463
19395,Heal,4,3,Trinket,14,73,73,134,134,134,134,134,134,134,134,134,134,72.75
19395,Resto,5,4,Trinket,14,80,80,134,143,143,143,143,134,134,143,143,143,79.5
19395,Holy,5,4,Trinket,14,90,90,175,175,175,175,175,175,175,175,175,175,89.463
19406,Cat,1,1,Trinket,5,120,90,217,217,219,219,233,217,217,217,217,217,120
19406,Cat,2,1,Trinket,6,120,90,217,217,219,219,233,217,217,217,217,217,120
19406,Arms,1,1,Trinket,7,40,19,89,160,160,160,160,89,89,160,160,160,39.052
19406,BM,1,1,Trinket,7,86,56,252,252,252,252,252,252,252,252,252,252,86
19406,Enh,1,1,Trinket,7,90,56,280,280,280,280,280,280,280,280,280,280,89.68
19406,Cat,3,1,Trinket,7,120,90,217,217,219,219,233,217,217,217,217,217,120
19406,SV,1,1,Trinket,8,86,56,304,304,304,304,304,304,304,304,304,304,86
19406,Cat,4,1,Trinket,8,120,90,217,217,219,219,233,217,217,217,217,217,120
19406,Enh,2,1,Trinket,9,90,56,280,280,280,280,280,280,280,280,280,280,89.68
19406,Rog,1,1,Trinket,9,105,56,338,338,338,338,338,338,338,338,338,338,104.8
19406,Bear,1,1,Trinket,9,116,56,243,243,249,249,358,243,243,243,249,249,115.504
19406,Ret,1,1,Trinket,10,24,18,114,114,114,114,114,114,114,114,114,114,23.0968
19406,Arms,2,1,Trinket,10,40,19,89,160,160,160,160,89,89,160,160,160,39.052
19406,BM,2,1,Trinket,10,86,56,252,252,252,252,252,252,252,252,252,252,86
19406,Arms,3,1,Trinket,11,40,19,89,160,160,160,160,89,89,160,160,160,39.052
19406,SV,3,1,Trinket,11,86,56,304,304,304,304,304,304,304,304,304,304,86
19406,BM,3,1,Trinket,11,86,56,252,252,252,252,252,252,252,252,252,252,86
19406,Enh,3,1,Trinket,11,90,56,280,280,280,280,280,280,280,280,280,280,89.68
19406,Ret,2,1,Trinket,12,24,18,114,114,114,114,114,114,114,114,114,114,23.0968
19406,Arms,4,1,Trinket,12,40,19,89,160,160,160,160,89,89,160,160,160,39.052
19406,Prot,1,1,Trinket,12,33,20,76,104,104,104,104,76,76,104,104,104,32.836
19406,Fury,1,1,Trinket,12,38,25,168,168,168,168,168,168,168,168,168,168,37.72
19406,BM,4,1,Trinket,12,86,56,252,252,252,252,252,252,252,252,252,252,86
19406,Enh,4,1,Trinket,12,90,56,280,280,280,280,280,280,280,280,280,280,89.68
19406,Rog,2,1,Trinket,12,105,56,338,338,338,338,338,338,338,338,338,338,104.8
19406,Cat,5,1,Trinket,12,120,90,217,217,219,219,233,217,217,217,217,217,120
19406,Ret,3,1,Trinket,13,24,18,114,114,114,114,114,114,114,114,114,114,23.0968
19406,SV,3,1,Trinket,13,86,56,304,304,304,304,304,304,304,304,304,304,86
19406,SV,4,1,Trinket,14,86,56,304,304,304,304,304,304,304,304,304,304,86
19406,Rog,3,1,Trinket,14,105,56,338,338,338,338,338,338,338,338,338,338,104.8
19406,Bear,2,1,Trinket,14,116,56,243,243,249,249,358,243,243,243,249,249,115.504
19406,Fury,2,1,Trinket,15,38,25,168,168,168,168,168,168,168,168,168,168,37.72
19406,BM,5,1,Trinket,15,86,56,252,252,252,252,252,252,252,252,252,252,86
19406,Rog,4,1,Trinket,15,105,56,338,338,338,338,338,338,338,338,338,338,104.8
21582,Resto,1,1,Waist,9,80,80,138,173,173,210,210,121,121,173,173,173,79.38
21582,Holy,1,1,Waist,9,110,110,195,207,207,257,257,162,162,207,207,207,109.281
21582,Tree,1,1,Waist,10,69,69,136,136,136,141,141,121,121,134,134,134,68.2
21582,Holy,2,1,Waist,11,110,110,195,207,207,257,257,162,162,207,207,207,109.281
21582,Heal,1,1,Waist,12,74,74,137,159,159,188,188,125,125,159,159,159,73.75
21582,Tree,2,1,Waist,14,69,69,136,136,136,141,141,121,121,134,134,134,68.2
21582,Holy,3,2,Waist,14,110,110,195,207,207,257,257,162,162,207,207,207,109.281
21582,Resto,2,1,Waist,15,80,80,138,173,173,210,210,121,121,173,173,173,79.38
21582,Holy,4,3,Waist,15,110,110,195,207,207,257,257,162,162,207,207,207,109.281
21583,Holy,1,1,Back,8,94,94,154,154,154,154,154,111,111,150,150,150,93.111
21583,Holy,2,1,Back,9,94,94,154,154,154,154,154,111,111,150,150,150,93.111
21583,Tree,1,1,Back,10,50,50,91,91,91,91,91,71,71,91,91,91,49.7
21583,Tree,2,1,Back,11,50,50,91,91,91,91,91,71,71,91,91,91,49.7
21583,Heal,1,1,Back,11,52,52,89,131,131,131,131,75,75,131,131,131,52
21583,Resto,1,1,Back,11,59,59,90,144,144,144,144,79,79,144,144,144,58.24
21583,Heal,2,1,Back,12,52,52,89,131,131,131,131,75,75,131,131,131,52
21583,Resto,2,1,Back,12,59,59,90,144,144,144,144,79,79,144,144,144,58.24
21583,Holy,3,2,Back,14,94,94,154,154,154,154,154,111,111,150,150,150,93.111
21585,Shad,1,1,Hands,8,45,38,74,74,75,75,130,66,66,66,66,70,44.0836
21585,Shad,2,1,Hands,10,45,38,74,74,75,75,130,66,66,66,66,70,44.0836
21585,Shad,3,1,Hands,11,45,38,74,74,75,75,130,66,66,66,66,70,44.0836
21585,Aff,1,1,Hands,11,51,39,98,98,98,98,159,78,78,78,78,83,50.142
21585,Shad,4,1,Hands,12,45,38,74,74,75,75,130,66,66,66,66,70,44.0836
21585,Aff,2,1,Hands,13,51,39,98,98,98,98,159,78,78,78,78,83,50.142
21585,Owl,1,1,Hands,13,53,43,93,93,104,104,145,92,92,92,92,92,52.3
21585,Dest,1,1,Hands,13,65,53,115,115,118,118,195,111,111,111,111,111,64.482
21585,Fire,1,1,Hands,14,65,53,119,119,132,132,185,117,117,117,117,117,64.72
21585,Aff,3,1,Hands,15,51,39,98,98,98,98,159,78,78,78,78,83,50.142
21585,Owl,2,1,Hands,15,53,43,93,93,104,104,145,92,92,92,92,92,52.3
21596,SV,1,1,Ring,11,136,136,180,204,239,248,271,180,180,181,239,248,135.41
21596,SV,2,1,Ring,13,136,136,180,204,239,248,271,180,180,181,239,248,135.41
21602,Cat,1,1,Wrist,6,122,107,156,171,230,230,240,156,156,171,212,212,121.99
21602,Cat,2,1,Wrist,9,122,107,156,171,230,230,240,156,156,171,212,212,121.99
21602,Rog,1,1,Wrist,13,77,52,101,130,174,174,231,100,100,130,157,157,76.26
21602,Bear,1,1,Wrist,13,225,195,307,340,413,415,484,307,307,340,409,415,224.0044
21602,Enh,1,1,Wrist,14,73,57,99,102,138,138,197,99,99,102,138,138,72.976
21602,Cat,3,1,Wrist,15,122,107,156,171,230,230,240,156,156,171,212,212,121.99
21604,Tree,1,1,Wrist,5,59,59,90,101,101,112,112,90,90,101,101,101,58.7
21604,Heal,1,1,Wrist,7,58,58,96,121,121,122,122,90,90,121,121,121,58
21604,Resto,1,1,Wrist,7,59,59,90,130,131,146,146,90,90,130,130,130,58.2
21604,Tree,2,1,Wrist,9,59,59,90,101,101,112,112,90,90,101,101,101,58.7
21604,Holy,1,1,Wrist,9,87,87,121,165,165,196,196,121,121,165,165,165,86.233
21604,Holy,2,1,Wrist,11,87,87,121,165,165,196,196,121,121,165,165,165,86.233
21604,Resto,2,1,Wrist,13,59,59,90,130,131,146,146,90,90,130,130,130,58.2
21604,Heal,2,1,Wrist,14,58,58,96,121,121,122,122,90,90,121,121,121,58
21604,Tree,3,2,Wrist,14,59,59,90,101,101,112,112,90,90,101,101,101,58.7
21604,Holy,3,2,Wrist,15,87,87,121,165,165,196,196,121,121,165,165,165,86.233
21605,Bear,1,1,Hands,15,319,319,483,556,617,617,733,483,483,556,617,617,318.8609
21608,Ele,1,1,Neck,7,40,40,61,65,70,72,99,61,61,65,65,72,39.37
21608,Shad,1,1,Neck,10,30,30,51,51,62,62,84,51,51,51,53,62,29.823
21608,Owl,1,1,Neck,10,38,38,69,69,79,79,90,55,55,62,62,67,37.3
21608,Aff,1,1,Neck,11,36,36,71,71,80,80,100,53,53,58,60,68,35.14
21608,Ele,2,1,Neck,11,40,40,61,65,70,72,99,61,61,65,65,72,39.37
21608,Dest,1,1,Neck,11,46,46,85,85,96,96,124,68,68,76,88,88,45.556
21608,Fire,1,1,Neck,11,49,49,90,90,101,101,118,78,78,81,94,94,48.564
21608,Shad,2,1,Neck,14,30,30,51,51,62,62,84,51,51,51,53,62,29.823
21608,Owl,2,1,Neck,14,38,38,69,69,79,79,90,55,55,62,62,67,37.3
21608,Arc,1,1,Neck,15,24,24,41,42,50,68,73,41,41,42,50,68,23.403
21608,Aff,2,1,Neck,15,36,36,71,71,80,80,100,53,53,58,60,68,35.14
21608,Ele,3,1,Neck,15,40,40,61,65,70,72,99,61,61,65,65,72,39.37
21608,Dest,2,1,Neck,15,46,46,85,85,96,96,124,68,68,76,88,88,45.556
21608,Fire,2,1,Neck,15,49,49,90,90,101,101,118,78,78,81,94,94,48.564
21609,Tree,1,1,Waist,12,65,65,136,136,136,141,141,121,121,134,134,134,64.3
21670,Fury,1,1,Trinket,9,41,41,168,168,168,168,168,168,168,168,168,168,40.85
21670,Arms,1,1,Trinket,12,35,35,89,160,160,160,160,89,89,160,160,160,34.39
21670,Fury,2,1,Trinket,12,41,41,168,168,168,168,168,168,168,168,168,168,40.85
21670,Fury,3,1,Trinket,13,41,41,168,168,168,168,168,168,168,168,168,168,40.85
21670,Fury,4,1,Trinket,14,41,41,168,168,168,168,168,168,168,168,168,168,40.85
21670,SV,1,1,Trinket,14,67,67,304,304,304,304,304,304,304,304,304,304,66.5
21670,Cat,1,1,Trinket,14,90,90,217,217,219,219,233,217,217,217,217,217,89.3
21670,Arms,2,1,Trinket,15,35,35,89,160,160,160,160,89,89,160,160,160,34.39
21670,BM,1,1,Trinket,15,57,57,252,252,252,252,252,252,252,252,252,252,57
21709,Shad,2,1,Ring,1,44,38,44,44,72,79,81,38,38,41,72,72,43.5256
21709,Aff,1,1,Ring,4,48,36,56,56,85,96,102,46,46,49,78,78,47.347
21709,Owl,1,1,Ring,4,49,40,61,61,83,87,92,61,61,61,73,73,48.88
21709,Aff,2,1,Ring,5,48,36,56,56,85,96,102,46,46,49,78,78,47.347
21709,Shad,3,1,Ring,5,44,38,44,44,72,79,81,38,38,41,72,72,43.5256
21709,Owl,2,1,Ring,6,49,40,61,61,83,87,92,61,61,61,73,73,48.88
21709,Dest,1,1,Ring,6,60,47,70,70,101,118,127,61,61,63,101,101,59.251
21709,Fire,1,1,Ring,6,60,48,70,70,107,111,119,65,65,67,96,96,59.95
21709,Shad,4,1,Ring,7,44,38,44,44,72,79,81,38,38,41,72,72,43.5256
21709,Ele,1,1,Ring,8,42,39,63,63,82,82,99,63,63,63,82,82,41.46
21709,Dest,2,1,Ring,8,60,47,70,70,101,118,127,61,61,63,101,101,59.251
21709,Fire,2,1,Ring,8,60,48,70,70,107,111,119,65,65,67,96,96,59.95
21709,Aff,3,1,Ring,11,48,36,56,56,85,96,102,46,46,49,78,78,47.347
21709,Ele,2,1,Ring,11,42,39,63,63,82,82,99,63,63,63,82,82,41.46
21709,Owl,3,1,Ring,12,49,40,61,61,83,87,92,61,61,61,73,73,48.88
21709,Aff,4,1,Ring,13,48,36,56,56,85,96,102,46,46,49,78,78,47.347
21709,Shad,5,1,Ring,13,44,38,44,44,72,79,81,38,38,41,72,72,43.5256
21709,Dest,3,1,Ring,14,60,47,70,70,101,118,127,61,61,63,101,101,59.251
21709,Owl,4,1,Ring,15,49,40,61,61,83,87,92,61,61,61,73,73,48.88
21709,Fire,3,1,Ring,15,60,48,70,70,107,111,119,65,65,67,96,96,59.95
21710,SV,1,1,Back,7,136,136,185,214,214,214,290,168,168,214,214,214,135.46
21710,SV,2,1,Back,8,136,136,185,214,214,214,290,168,168,214,214,214,135.46
21710,Cat,1,1,Back,10,116,116,173,173,184,184,242,147,147,166,166,166,115.926
21710,SV,3,1,Back,10,136,136,185,214,214,214,290,168,168,214,214,214,135.46
21710,SV,4,1,Back,11,136,136,185,214,214,214,290,168,168,214,214,214,135.46
21710,Cat,2,1,Back,12,116,116,173,173,184,184,242,147,147,166,166,166,115.926
21710,SV,5,1,Back,12,136,136,185,214,214,214,290,168,168,214,214,214,135.46
21710,Ret,1,1,Back,15,24,24,38,38,42,46,70,38,38,38,39,46,23.2759
21710,Cat,3,1,Back,15,116,116,173,173,184,184,242,147,147,166,166,166,115.926
21712,Tree,1,1,Neck,7,60,60,89,89,89,97,97,72,72,88,88,97,60
21712,Heal,1,1,Neck,7,62,62,94,118,140,143,143,75,75,103,103,143,61.5
21712,Resto,1,1,Neck,7,66,66,100,125,153,161,161,83,83,113,113,161,66
21712,Tree,2,1,Neck,9,60,60,89,89,89,97,97,72,72,88,88,97,60
21712,Heal,2,1,Neck,9,62,62,94,118,140,143,143,75,75,103,103,143,61.5
21712,Resto,2,1,Neck,9,66,66,100,125,153,161,161,83,83,113,113,161,66
21712,Tree,3,2,Neck,12,60,60,89,89,89,97,97,72,72,88,88,97,60
21712,Heal,3,2,Neck,12,62,62,94,118,140,143,143,75,75,103,103,143,61.5
21712,Resto,3,2,Neck,12,66,66,100,125,153,161,161,83,83,113,113,161,66
21712,Tree,4,3,Neck,13,60,60,89,89,89,97,97,72,72,88,88,97,60
21712,Heal,4,3,Neck,14,62,62,94,118,140,143,143,75,75,103,103,143,61.5
21712,Resto,4,3,Neck,14,66,66,100,125,153,161,161,83,83,113,113,161,66
21846,Arc,2,1,Waist,1,59,59,59,59,78,78,97,59,59,59,78,78,58.984
21846,Owl,1,1,Waist,1,92,92,92,120,120,120,128,92,92,92,103,103,91.64
21846,Dest,1,1,Waist,1,111,111,111,147,147,147,176,111,111,111,125,125,110.36
21846,Fire,1,1,Waist,1,117,117,117,153,153,153,161,117,117,118,131,131,116.108
21846,Arc,4,1,Waist,3,59,59,59,59,78,78,97,59,59,59,78,78,58.984
21846,Owl,2,1,Waist,3,92,92,92,120,120,120,128,92,92,92,103,103,91.64
21846,Dest,2,1,Waist,3,111,111,111,147,147,147,176,111,111,111,125,125,110.36
21846,Fire,2,1,Waist,3,117,117,117,153,153,153,161,117,117,118,131,131,116.108
21846,Arc,5,1,Waist,4,59,59,59,59,78,78,97,59,59,59,78,78,58.984
21846,Owl,4,1,Waist,4,92,92,92,120,120,120,128,92,92,92,103,103,91.64
21846,Fire,3,1,Waist,4,117,117,117,153,153,153,161,117,117,118,131,131,116.108
21846,Owl,5,1,Waist,5,92,92,92,120,120,120,128,92,92,92,103,103,91.64
21846,Dest,4,1,Waist,5,111,111,111,147,147,147,176,111,111,111,125,125,110.36
21846,Fire,4,1,Waist,5,117,117,117,153,153,153,161,117,117,118,131,131,116.108
21846,Dest,5,1,Waist,6,111,111,111,147,147,147,176,111,111,111,125,125,110.36
21846,Fire,5,1,Waist,6,117,117,117,153,153,153,161,117,117,118,131,131,116.108
21847,Arc,1,1,Hands,1,57,57,57,57,66,66,103,57,57,57,61,61,56.041
21847,Arc,2,1,Hands,2,57,57,57,57,66,66,103,57,57,57,61,61,56.041
21847,Owl,2,1,Hands,2,92,92,93,93,104,104,145,92,92,92,92,92,91.6
21847,Dest,2,1,Hands,2,111,111,115,115,118,118,195,111,111,111,111,111,110.349
21847,Fire,2,1,Hands,2,117,117,119,119,132,132,185,117,117,117,117,117,116.598
21847,Arc,3,1,Hands,3,57,57,57,57,66,66,103,57,57,57,61,61,56.041
21847,Owl,4,1,Hands,3,92,92,93,93,104,104,145,92,92,92,92,92,91.6
21847,Dest,4,1,Hands,3,111,111,115,115,118,118,195,111,111,111,111,111,110.349
21847,Fire,4,1,Hands,3,117,117,119,119,132,132,185,117,117,117,117,117,116.598
21847,Arc,4,1,Hands,4,57,57,57,57,66,66,103,57,57,57,61,61,56.041
21847,Dest,5,1,Hands,6,111,111,115,115,118,118,195,111,111,111,111,111,110.349
21847,Fire,5,1,Hands,6,117,117,119,119,132,132,185,117,117,117,117,117,116.598
21847,Owl,5,1,Hands,8,92,92,93,93,104,104,145,92,92,92,92,92,91.6
21847,Arc,5,1,Hands,9,57,57,57,57,66,66,103,57,57,57,61,61,56.041
21848,Arc,1,1,Chest,1,75,75,75,88,98,98,137,75,75,85,95,95,74.442
21848,Dest,1,1,Chest,1,144,144,144,192,192,192,233,144,144,150,150,150,143.497
21848,Fire,1,1,Chest,1,152,152,152,198,198,198,231,152,152,157,162,162,151.658
21848,Owl,1,1,Chest,2,120,120,122,155,158,158,176,120,120,123,138,138,119.26
21848,Fire,2,1,Chest,2,152,152,152,198,198,198,231,152,152,157,162,162,151.658
21848,Dest,2,1,Chest,3,144,144,144,192,192,192,233,144,144,150,150,150,143.497
21848,Arc,2,1,Chest,4,75,75,75,88,98,98,137,75,75,85,95,95,74.442
21848,Owl,2,1,Chest,4,120,120,122,155,158,158,176,120,120,123,138,138,119.26
21848,Fire,4,1,Chest,4,152,152,152,198,198,198,231,152,152,157,162,162,151.658
21848,Dest,4,1,Chest,5,144,144,144,192,192,192,233,144,144,150,150,150,143.497
21848,Owl,3,1,Chest,6,120,120,122,155,158,158,176,120,120,123,138,138,119.26
21848,Arc,3,1,Chest,7,75,75,75,88,98,98,137,75,75,85,95,95,74.442
21848,Arc,4,1,Chest,8,75,75,75,88,98,98,137,75,75,85,95,95,74.442
21848,Owl,4,1,Chest,8,120,120,122,155,158,158,176,120,120,123,138,138,119.26
21848,Fire,5,1,Chest,8,152,152,152,198,198,198,231,152,152,157,162,162,151.658
21848,Dest,5,1,Chest,11,144,144,144,192,192,192,233,144,144,150,150,150,143.497
21848,Owl,5,1,Chest,13,120,120,122,155,158,158,176,120,120,123,138,138,119.26
21864,Holy,1,1,Shoulders,14,81,81,191,226,226,240,240,176,176,226,226,226,80.289
21869,Shad,2,1,Shoulders,1,75,75,75,75,85,85,113,75,75,75,85,85,74.93
21869,Dest,1,1,Shoulders,2,97,97,107,120,140,140,167,97,97,102,122,122,96.638
21869,Aff,1,1,Shoulders,3,75,75,85,97,112,112,131,75,75,79,95,95,74.288
21869,Shad,4,1,Shoulders,4,75,75,75,75,85,85,113,75,75,75,85,85,74.93
21869,Shad,5,1,Shoulders,6,75,75,75,75,85,85,113,75,75,75,85,85,74.93
21869,Dest,2,1,Shoulders,6,97,97,107,120,140,140,167,97,97,102,122,122,96.638
21869,Aff,2,1,Shoulders,7,75,75,85,97,112,112,131,75,75,79,95,95,74.288
21869,Dest,3,1,Shoulders,12,97,97,107,120,140,140,167,97,97,102,122,122,96.638
21869,Aff,3,1,Shoulders,13,75,75,85,97,112,112,131,75,75,79,95,95,74.288
21869,Dest,4,1,Shoulders,13,97,97,107,120,140,140,167,97,97,102,122,122,96.638
21869,Aff,4,1,Shoulders,14,75,75,85,97,112,112,131,75,75,79,95,95,74.288
21870,Aff,1,1,Feet,1,79,79,79,88,88,88,150,79,79,79,88,88,78.914
21870,Shad,4,1,Feet,1,82,82,82,82,82,82,100,82,82,82,82,82,81.558
21870,Dest,1,1,Feet,1,102,102,102,111,114,114,184,102,102,102,114,114,101.648
21870,Shad,5,1,Feet,2,82,82,82,82,82,82,100,82,82,82,82,82,81.558
21870,Aff,2,1,Feet,3,79,79,79,88,88,88,150,79,79,79,88,88,78.914
21870,Dest,2,1,Feet,3,102,102,102,111,114,114,184,102,102,102,114,114,101.648
21870,Aff,3,1,Feet,5,79,79,79,88,88,88,150,79,79,79,88,88,78.914
21870,Dest,3,1,Feet,5,102,102,102,111,114,114,184,102,102,102,114,114,101.648
21870,Aff,4,1,Feet,6,79,79,79,88,88,88,150,79,79,79,88,88,78.914
21870,Dest,4,1,Feet,6,102,102,102,111,114,114,184,102,102,102,114,114,101.648
21870,Aff,5,1,Feet,8,79,79,79,88,88,88,150,79,79,79,88,88,78.914
21870,Dest,5,1,Feet,8,102,102,102,111,114,114,184,102,102,102,114,114,101.648
21871,Shad,1,1,Chest,2,98,98,99,122,122,122,157,98,98,101,104,104,97.24
21871,Aff,1,1,Chest,3,97,97,106,156,156,156,185,97,97,117,117,117,96.06
